UF;Habitantes;Matriculados;Percentual1;Percentual2;Rateio
AC;880631;232806;0.26436271264581873;0.0514278110649045;1388550.8987524216
AL;3220104;723228;0.22459771485641458;0.04369212560138887;1179687.3912374994
AM;4281209;1025004;0.23941928553359576;0.0465754404563564;1257536.8923216227
AP;802837;186314;0.23206952345245674;0.0451456541907448;1218932.6631501096
BA;14850513;2817947;0.18975418559614743;0.03691383821850733;996673.6318996978
CE;9233656;1667983;0.18064166566309162;0.035141133782423596;948810.6121254371
DF;2982818;420605;0.1410092737807;0.027431244814426096;740643.6099895046
ES;4102129;730681;0.17812238474216682;0.03465104536592925;935578.2248800898
GO;7350483;1150041;0.15645788174736272;0.03043654039402521;821786.5906386806
MA;7010960;1656969;0.23633981651585517;0.04597637582564667;1241362.14729246
MG;21322691;3361448;0.15764651844366173;0.030667771882120793;828029.8408172614
MS;2901895;558422;0.19243356496358413;0.03743507139281035;1010746.9276058794
MT;3836399;764501;0.1992756749232809;0.038766101532314225;1046684.741372484
PA;8664306;1934810;0.22330813339233402;0.04344125681878414;1172913.9341071718
PB;4145040;753190;0.18170874104954354;0.03534871733616017;954415.3680763246
PE;9539029;1572644;0.16486415965398574;0.03207185600875068;865940.1122362682
PI;3375646;712799;0.21115928625217217;0.04107788034587848;1109102.769338719
PR;11824665;1968666;0.16648809924002075;0.03238776916221918;874469.7673799178
RJ;17219679;2289653;0.13296722894776378;0.025866785295515664;698403.2029789229
RN;3446071;598065;0.17354981949008016;0.03376152119849755;911561.0723594337
RO;1746227;337385;0.19320798498706068;0.037585723223598565;1014814.5270371613
RR;716793;162066;0.22609874817415906;0.043984129178952815;1187571.487831726
RS;11229915;1726529;0.15374372824727525;0.029908542432411558;807530.645675112
SC;8058441;1394745;0.1730787630014292;0.03366988420530442;909086.8735432194
SE;2291077;406777;0.17754837572023988;0.03453938049748482;932563.2734320901
SP;45973194;7087484;0.15416557744497805;0.029990606883257193;809746.3858479442
TO;1577342;341405;0.21644323171512583;0.042105792891586495;1136856.4080728353
